Date;Open;High;Low;Close;Adj Close;Volume
2/1/2019;18.010.000;19.000.000;17.980.000;18.830.000;18.830.000;87148700
3/1/2019;18.420.000;18.680.000;16.940.001;17.049.999;17.049.999;117277600
4/1/2019;17.549.999;19.070.000;17.430.000;19.000.000;19.000.000;111878600
7/1/2019;19.440.001;20.680.000;19.000.000;20.570.000;20.570.000;107157000
8/1/2019;21.190.001;21.200.001;19.680.000;20.750.000;20.750.000;121271000
9/1/2019;20.889.999;21.440.001;20.070.000;20.190.001;20.190.001;163944100
10/1/2019;19.760.000;19.830.000;18.900.000;19.740.000;19.740.000;115629400
11/1/2019;19.469.999;20.350.000;19.190.001;20.270.000;20.270.000;85110800
14/1/2019;19.959.999;20.620.001;19.750.000;20.230.000;20.230.000;71350200
15/1/2019;20.440.001;20.680.000;20.260.000;20.379.999;20.379.999;62785800
16/1/2019;20.400.000;20.540.001;19.709.999;19.730.000;19.730.000;70849300
17/1/2019;19.490.000;20.510.000;19.020.000;20.250.000;20.250.000;85018400
18/1/2019;20.370.001;21.049.999;20.020.000;20.770.000;20.770.000;88131000
22/1/2019;20.480.000;20.920.000;19.700.001;19.760.000;19.760.000;78513700
23/1/2019;20.030.001;20.480.000;19.549.999;19.799.999;19.799.999;77811300
24/1/2019;20.059.999;21.010.000;20.040.001;20.850.000;20.850.000;97433400
25/1/2019;20.990.000;22.030.001;20.790.001;21.930.000;21.930.000;110239500
28/1/2019;20.320.000;21.010.000;20.020.000;20.180.000;20.180.000;135164100
29/1/2019;20.260.000;20.389.999;19.049.999;19.250.000;19.250.000;131202500
30/1/2019;21.490.000;23.129.999;21.370.001;23.090.000;23.090.000;211421200
31/1/2019;23.020.000;25.139.999;22.830.000;24.410.000;24.410.000;182575600
1/2/2019;24.610.001;24.840.000;24.070.000;24.510.000;24.510.000;105356200
4/2/2019;24.430.000;24.660.000;24.070.000;24.129.999;24.129.999;70843800
5/2/2019;23.420.000;23.860.001;22.980.000;23.309.999;23.309.999;122226000
6/2/2019;23.629.999;24.139.999;23.219.999;23.260.000;23.260.000;78684300
7/2/2019;22.990.000;23.219.999;22.320.000;22.670.000;22.670.000;86723900
8/2/2019;22.330.000;23.280.001;22.270.000;23.049.999;23.049.999;78129300
11/2/2019;23.049.999;23.280.001;22.660.000;22.959.999;22.959.999;60578700
12/2/2019;23.430.000;23.559.999;22.750.000;22.820.000;22.820.000;67595400
13/2/2019;22.980.000;23.240.000;22.709.999;22.850.000;22.850.000;57544200
14/2/2019;22.740.000;23.370.001;22.590.000;23.129.999;23.129.999;64441200
15/2/2019;23.580.000;24.049.999;23.200.001;23.680.000;23.680.000;78644100
19/2/2019;23.629.999;24.410.000;23.610.001;23.950.001;23.950.001;57517900
20/2/2019;24.139.999;24.370.001;23.900.000;23.950.001;23.950.001;57091600
21/2/2019;24.040.001;24.330.000;23.850.000;23.920.000;23.920.000;49608200
22/2/2019;24.049.999;24.360.001;23.879.999;24.360.001;24.360.001;52650700
25/2/2019;25.010.000;25.520.000;24.680.000;24.709.999;24.709.999;63221000
26/2/2019;24.650.000;24.719.999;24.150.000;24.209.999;24.209.999;48470100
27/2/2019;24.110.001;24.230.000;23.209.999;23.480.000;23.480.000;62649300
28/2/2019;23.209.999;23.670.000;23.110.001;23.530.001;23.530.001;39384900
1/3/2019;23.969.999;24.190.001;23.450.001;23.680.000;23.680.000;48084000
4/3/2019;23.889.999;24.129.999;23.010.000;23.370.001;23.370.001;48147700
5/3/2019;23.340.000;23.680.000;23.010.000;23.500.000;23.500.000;35462600
6/3/2019;23.469.999;23.530.001;22.400.000;22.410.000;22.410.000;60479400
7/3/2019;22.330.000;22.410.000;21.730.000;22.080.000;22.080.000;52186300
8/3/2019;21.350.000;22.090.000;21.040.001;22.010.000;22.010.000;49967700
11/3/2019;22.150.000;23.080.000;21.980.000;22.959.999;22.959.999;54420200
12/3/2019;23.100.000;23.799.999;22.780.001;23.490.000;23.490.000;56410600
13/3/2019;23.660.000;24.150.000;23.350.000;23.379.999;23.379.999;56705800
14/3/2019;23.370.001;23.490.000;22.799.999;22.820.000;22.820.000;42818600
15/3/2019;23.100.000;23.650.000;23.010.000;23.290.001;23.290.001;46519900
18/3/2019;23.299.999;23.620.001;23.040.001;23.250.000;23.250.000;34731800
19/3/2019;23.600.000;26.080.000;23.590.000;26.000.000;26.000.000;156052200
20/3/2019;26.490.000;26.879.999;25.309.999;25.700.001;25.700.001;151292100
21/3/2019;25.780.001;28.110.001;25.709.999;27.889.999;27.889.999;129610300
22/3/2019;27.540.001;27.750.000;26.330.000;26.370.001;26.370.001;115323300
25/3/2019;26.290.001;26.990.000;25.540.001;25.969.999;25.969.999;78438200
26/3/2019;26.690.001;26.980.000;25.459.999;25.690.001;25.690.001;75754100
27/3/2019;25.700.001;25.879.999;24.549.999;24.889.999;24.889.999;88585300
28/3/2019;25.100.000;25.559.999;24.650.000;25.059.999;25.059.999;64667500
29/3/2019;25.580.000;25.730.000;25.250.000;25.520.000;25.520.000;53502800
1/4/2019;26.420.000;26.559.999;25.830.000;26.360.001;26.360.001;63000300
2/4/2019;26.510.000;26.799.999;26.090.000;26.750.000;26.750.000;53358800
3/4/2019;28.020.000;29.950.001;27.879.999;29.020.000;29.020.000;197650500
4/4/2019;28.879.999;29.389.999;28.610.001;29.090.000;29.090.000;82191100
5/4/2019;29.639.999;29.690.001;28.799.999;28.980.000;28.980.000;65662700
8/4/2019;28.690.001;28.950.001;28.180.000;28.530.001;28.530.001;58002500
9/4/2019;28.240.000;28.379.999;27.190.001;27.240.000;27.240.000;75539800
10/4/2019;27.459.999;28.120.001;27.320.000;27.830.000;27.830.000;64368100
11/4/2019;27.809.999;28.049.999;27.459.999;27.790.001;27.790.001;44801200
12/4/2019;28.209.999;28.379.999;27.660.000;27.850.000;27.850.000;41048800
15/4/2019;27.799.999;27.840.000;26.959.999;27.330.000;27.330.000;40812500
16/4/2019;27.719.999;28.180.000;27.490.000;27.930.000;27.930.000;47340100
17/4/2019;28.209.999;28.270.000;27.219.999;27.490.000;27.490.000;48240800
18/4/2019;27.600.000;27.879.999;27.340.000;27.680.000;27.680.000;39880900
22/4/2019;27.620.001;28.230.000;27.389.999;28.180.000;28.180.000;36477300
23/4/2019;28.180.000;28.490.000;27.790.001;27.969.999;27.969.999;41777500
24/4/2019;28.100.000;28.850.000;27.930.000;28.459.999;28.459.999;51784700
25/4/2019;28.670.000;28.860.001;27.360.001;27.660.000;27.660.000;57329700
26/4/2019;27.660.000;27.900.000;27.049.999;27.879.999;27.879.999;48827900
29/4/2019;27.900.000;28.139.999;27.500.000;27.690.001;27.690.001;44532700
30/4/2019;27.590.000;27.799.999;26.940.001;27.629.999;27.629.999;73165900
1/5/2019;28.950.001;29.150.000;26.780.001;26.809.999;26.809.999;136066900
2/5/2019;26.940.001;28.639.999;26.610.001;28.290.001;28.290.001;100514800
3/5/2019;28.299.999;28.420.000;27.660.000;28.219.999;28.219.999;55503100
6/5/2019;26.719.999;27.500.000;26.450.001;27.420.000;27.420.000;70344100
7/5/2019;27.200.001;27.350.000;26.209.999;26.660.000;26.660.000;75868800
8/5/2019;26.410.000;27.709.999;26.270.000;27.090.000;27.090.000;65967500
9/5/2019;26.700.001;27.379.999;26.030.001;27.209.999;27.209.999;73150900
10/5/2019;27.030.001;28.100.000;26.930.000;27.959.999;27.959.999;82930100
13/5/2019;26.980.000;27.230.000;26.100.000;26.240.000;26.240.000;99017900
14/5/2019;26.530.001;27.480.000;26.150.000;27.320.000;27.320.000;82980400
15/5/2019;26.870.001;27.790.001;26.730.000;27.580.000;27.580.000;55689900
16/5/2019;27.370.001;28.370.001;27.270.000;28.010.000;28.010.000;67330100
17/5/2019;27.690.001;28.459.999;27.400.000;27.500.000;27.500.000;65385400
20/5/2019;26.980.000;27.240.000;26.490.000;26.680.000;26.680.000;69757400
21/5/2019;27.180.000;27.370.001;26.930.000;27.350.000;27.350.000;46079200
22/5/2019;27.120.001;27.590.000;27.070.000;27.410.000;27.410.000;40035300
23/5/2019;26.990.000;27.100.000;26.030.001;26.360.001;26.360.001;67809200
24/5/2019;26.610.001;26.930.000;26.400.000;26.440.001;26.440.001;39835800
28/5/2019;27.270.000;29.670.000;27.059.999;29.049.999;29.049.999;146949600
29/5/2019;29.000.000;29.320.000;27.730.000;28.090.000;28.090.000;99969600
30/5/2019;28.400.000;28.559.999;27.600.000;28.030.001;28.030.001;65289100
31/5/2019;27.570.000;28.360.001;27.400.000;27.410.000;27.410.000;68667800
3/6/2019;28.750.000;29.620.001;27.290.001;27.580.000;27.580.000;147532200
4/6/2019;28.389.999;29.590.000;27.910.000;29.570.000;29.570.000;107549500
5/6/2019;29.930.000;29.990.000;29.030.001;29.500.000;29.500.000;79481500
6/6/2019;29.870.001;31.980.000;29.840.000;31.820.000;31.820.000;131267800
7/6/2019;31.940.001;32.599.998;31.570.000;32.410.000;32.410.000;86841100
10/6/2019;33.529.999;34.299.999;33.080.002;33.230.000;33.230.000;97668800
11/6/2019;33.430.000;33.490.002;31.820.000;32.410.000;32.410.000;82834900
12/6/2019;32.000.000;32.570.000;31.920.000;32.180.000;32.180.000;56194100
13/6/2019;32.389.999;32.500.000;31.059.999;31.389.999;31.389.999;63556000
14/6/2019;30.700.001;30.959.999;30.020.000;30.360.001;30.360.001;70373000
17/6/2019;30.250.000;30.450.001;29.180.000;29.200.001;29.200.001;70865700
18/6/2019;29.760.000;30.969.999;29.580.000;30.450.001;30.450.001;86444500
19/6/2019;30.670.000;30.790.001;30.059.999;30.500.000;30.500.000;63233900
20/6/2019;31.240.000;31.360.001;29.840.000;30.010.000;30.010.000;72418200
21/6/2019;29.650.000;30.350.000;28.969.999;29.100.000;29.100.000;81861300
24/6/2019;29.320.000;29.400.000;28.670.000;29.260.000;29.260.000;55724800
25/6/2019;29.260.000;29.719.999;28.799.999;28.860.001;28.860.001;53680900
